date,value,amount_deposited,amount_bought,amount_sold,cumNet,amount_return_cum,percent_return_cum
2010-01-01,0.0,2308.0,0.0,0.0,0.0,0.0,
2010-01-23,257.26,0.0,307.0,0.0,307.0,-49.74,-16.2
2010-01-24,257.26,0.0,0.0,0.0,307.0,-49.74,-16.2
2010-01-25,255.37,0.0,0.0,0.0,307.0,-51.63,-16.82
2010-01-26,251.95,0.0,0.0,0.0,307.0,-55.05,-17.93
2010-01-27,257.29,0.0,0.0,0.0,307.0,-49.71,-16.19
2010-01-28,258.83,0.0,0.0,0.0,307.0,-48.17,-15.69
2010-01-29,257.82,0.0,0.0,0.0,307.0,-49.18,-16.02
2010-01-30,257.82,0.0,0.0,0.0,307.0,-49.18,-16.02
2010-01-31,257.82,0.0,0.0,0.0,307.0,-49.18,-16.02
2010-02-01,262.92,0.0,0.0,0.0,307.0,-44.08,-14.36
2010-02-02,268.36,0.0,0.0,0.0,307.0,-38.64,-12.59
2010-02-03,267.84,0.0,0.0,0.0,307.0,-39.16,-12.75
2010-02-04,257.37,0.0,0.0,0.0,307.0,-49.63,-16.16
2010-02-05,258.88,0.0,0.0,0.0,307.0,-48.12,-15.68
2010-02-06,258.88,0.0,0.0,0.0,307.0,-48.12,-15.68
2010-02-07,258.88,0.0,0.0,0.0,307.0,-48.12,-15.68
2010-02-08,256.16,0.0,0.0,0.0,307.0,-50.84,-16.56
2010-02-09,258.89,0.0,0.0,0.0,307.0,-48.11,-15.67
2010-02-10,263.5,0.0,0.0,0.0,307.0,-43.5,-14.17
2010-02-11,263.0,0.0,0.0,0.0,307.0,-44.0,-14.33
2010-02-12,262.6,0.0,0.0,0.0,307.0,-44.4,-14.46
2010-02-13,262.6,0.0,0.0,0.0,307.0,-44.4,-14.46
2010-02-14,262.6,0.0,0.0,0.0,307.0,-44.4,-14.46
2010-02-15,262.6,0.0,0.0,0.0,307.0,-44.4,-14.46
2010-02-16,268.57,0.0,0.0,0.0,307.0,-38.43,-12.52
2010-02-17,270.22,0.0,0.0,0.0,307.0,-36.78,-11.98
2010-02-18,277.3,0.0,0.0,0.0,307.0,-29.7,-9.67
2010-02-19,970.66,0.0,763.0,0.0,1070.0,-99.34,-9.28
2010-02-20,970.66,0.0,0.0,0.0,1070.0,-99.34,-9.28
2010-02-21,970.66,0.0,0.0,0.0,1070.0,-99.34,-9.28
2010-02-22,978.51,0.0,0.0,0.0,1070.0,-91.49,-8.55
2010-02-23,971.02,0.0,0.0,0.0,1070.0,-98.98,-9.25
2010-02-24,980.45,0.0,0.0,0.0,1070.0,-89.55,-8.37
2010-02-25,978.7,0.0,0.0,0.0,1070.0,-91.3,-8.53
2010-02-26,988.75,0.0,0.0,0.0,1070.0,-81.25,-7.59
2010-02-27,1126.06,0.0,155.0,0.0,1225.0,-98.94,-8.08
2010-02-28,1126.06,0.0,0.0,0.0,1225.0,-98.94,-8.08
