date,ticker,close,value,share
2010-01-04,XOM,42.91,509.38,100.0
2010-01-05,XOM,43.41,515.3,100.0
2010-01-06,XOM,43.7,518.68,100.0
2010-01-07,XOM,43.81,519.97,100.0
2010-01-08,XOM,43.38,514.97,100.0
2010-01-09,XOM,43.47,515.94,100.0
2010-01-10,XOM,43.55,516.91,100.0
2010-01-11,XOM,43.63,517.88,100.0
2010-01-12,XOM,43.31,514.06,100.0
2010-01-13,XOM,42.78,507.78,100.0
2010-01-14,XOM,42.66,506.36,100.0
2010-01-15,XOM,42.48,504.2,100.0
2010-01-16,XOM,42.43,503.63,100.0
2010-01-17,XOM,42.38,503.07,100.0
2010-01-18,XOM,42.33,502.51,100.0
2010-01-19,XOM,42.35,502.68,100.0
2010-01-20,XOM,41.74,495.46,100.0
2010-01-21,XOM,41.16,488.56,100.0
2010-01-22,XOM,41.03,487.02,100.0
2010-01-23,XOM,40.86,485.0,100.0
2010-01-24,JPM,24.19,952.27,66.35
2010-01-24,XOM,40.69,483.0,33.65
2010-01-25,JPM,24.13,949.94,66.39
2010-01-25,XOM,40.52,481.0,33.61
2010-01-26,JPM,23.81,937.24,65.92
2010-01-26,XOM,40.82,484.59,34.08
2010-01-27,XOM,40.51,480.87,33.44
2010-01-27,JPM,24.31,957.09,66.56
2010-01-28,XOM,40.24,477.64,33.16
2010-01-28,JPM,24.46,962.83,66.84
2010-01-29,HUKX.L,52.16,1458.0,50.35
2010-01-29,JPM,24.36,959.05,33.12
2010-01-29,XOM,40.31,478.44,16.52
2010-01-30,XOM,40.7,483.09,16.59
2010-01-30,HUKX.L,52.35,1463.4,50.26
2010-01-30,JPM,24.52,965.37,33.15
2010-01-31,XOM,41.09,487.76,16.66
2010-01-31,HUKX.L,52.55,1468.81,50.16
2010-01-31,JPM,24.68,971.7,33.18
2010-02-01,XOM,41.49,492.43,16.72
2010-02-01,JPM,24.84,978.03,33.21
2010-02-01,HUKX.L,52.74,1474.21,50.06
2010-02-02,HUKX.L,53.12,1484.83,49.83
2010-02-02,XOM,41.87,497.0,16.68
2010-02-02,JPM,25.36,998.26,33.5
2010-02-03,HUKX.L,52.85,1477.29,42.36
2010-02-03,JPM,25.31,996.35,28.57
2010-02-03,BARC.L,2.73,517.0,14.83
2010-02-03,XOM,41.83,496.56,14.24
2010-02-04,JPM,24.32,957.4,28.43
2010-02-04,BARC.L,2.51,476.48,14.15
2010-02-04,XOM,41.04,487.14,14.47
2010-02-04,HUKX.L,51.73,1445.98,42.95
2010-02-05,JPM,24.46,962.98,28.76
2010-02-05,BARC.L,2.48,470.88,14.06
2010-02-05,HUKX.L,50.91,1423.06,42.5
2010-02-05,XOM,41.38,491.23,14.67
2010-02-06,BARC.L,2.48,470.29,14.05
2010-02-06,XOM,41.36,490.95,14.67
2010-02-06,HUKX.L,51.02,1426.04,42.61
2010-02-06,JPM,24.38,959.63,28.67
2010-02-07,XOM,41.34,490.67,14.67
2010-02-07,BARC.L,2.48,469.71,14.04
2010-02-07,HUKX.L,51.12,1429.02,42.71
2010-02-07,JPM,24.29,956.26,28.58
2010-02-08,HUKX.L,51.23,1432.0,42.82
2010-02-08,JPM,24.2,952.88,28.49
2010-02-08,XOM,41.31,490.38,14.66
2010-02-08,BARC.L,2.48,469.12,14.03
2010-02-09,JPM,24.46,963.04,28.61
2010-02-09,XOM,41.54,493.13,14.65
2010-02-09,HUKX.L,51.48,1438.99,42.74
2010-02-09,BARC.L,2.49,471.4,14.0
2010-02-10,HUKX.L,51.76,1446.82,42.47
2010-02-10,JPM,24.9,980.19,28.77
2010-02-10,XOM,41.54,493.05,14.47
2010-02-10,BARC.L,2.57,486.37,14.28
2010-02-11,XOM,41.55,493.18,14.52
2010-02-11,JPM,24.85,978.34,28.81
2010-02-11,HUKX.L,52.05,1454.93,42.84
2010-02-11,BARC.L,2.48,469.74,13.83
2010-02-12,JPM,24.81,976.83,28.95
2010-02-12,HUKX.L,51.85,1449.33,42.95
2010-02-12,BARC.L,2.42,458.62,13.59
2010-02-12,XOM,41.28,489.97,14.52
2010-02-13,BARC.L,2.46,466.24,13.73
2010-02-13,JPM,25.01,984.5,28.99
2010-02-13,HUKX.L,51.94,1451.85,42.76
2010-02-13,XOM,41.54,493.1,14.52
2010-02-14,HUKX.L,52.03,1454.37,42.57
2010-02-14,JPM,25.2,992.18,29.04
2010-02-14,BARC.L,2.5,473.85,13.87
2010-02-14,XOM,41.81,496.22,14.52
2010-02-15,XOM,42.07,499.35,14.53
2010-02-15,JPM,25.4,999.87,29.09
2010-02-15,BARC.L,2.54,481.47,14.01
2010-02-15,HUKX.L,52.12,1456.88,42.38
2010-02-16,HUKX.L,52.87,1477.85,42.35
2010-02-16,JPM,25.38,999.06,28.63
2010-02-16,BARC.L,2.71,514.2,14.74
2010-02-16,XOM,41.98,498.25,14.28
2010-02-17,HUKX.L,53.32,1490.42,42.31
2010-02-17,BARC.L,2.79,529.17,15.02
2010-02-17,XOM,41.93,497.74,14.13
2010-02-17,JPM,25.53,1005.19,28.54
2010-02-18,HUKX.L,53.76,1502.72,41.96
2010-02-18,BARC.L,2.85,539.67,15.07
2010-02-18,XOM,42.77,507.64,14.17
2010-02-18,JPM,26.2,1031.52,28.8
2010-02-19,JPM,25.89,1019.1,28.45
2010-02-19,XOM,42.6,505.6,14.11
2010-02-19,BARC.L,2.88,546.58,15.26
2010-02-19,HUKX.L,54.06,1511.11,42.18
2010-02-20,BARC.L,2.9,548.92,15.29
2010-02-20,XOM,42.47,504.15,14.05
2010-02-20,JPM,26.05,1025.57,28.57
2010-02-20,HUKX.L,54.05,1510.83,42.09
2010-02-21,JPM,26.21,1032.02,28.69
2010-02-21,XOM,42.35,502.71,13.98
2010-02-21,BARC.L,2.91,551.25,15.33
2010-02-21,HUKX.L,54.04,1510.55,42.0
2010-02-22,XOM,42.23,501.26,13.91
2010-02-22,HUKX.L,54.03,1510.27,41.91
2010-02-22,BARC.L,2.92,553.58,15.36
2010-02-22,JPM,26.38,1038.47,28.82
2010-02-23,HUKX.L,53.67,1500.21,42.12
2010-02-23,JPM,25.82,1016.48,28.54
2010-02-23,XOM,42.04,499.05,14.01
2010-02-23,BARC.L,2.88,545.71,15.32
2010-02-24,BARC.L,2.86,542.64,12.3
2010-02-24,MCD,42.33,812.6,18.42
2010-02-24,HUKX.L,53.99,1509.15,34.2
2010-02-24,JPM,26.5,1043.15,23.64
2010-02-24,XOM,42.52,504.68,11.44
2010-02-25,JPM,26.66,1049.58,23.88
2010-02-25,MCD,42.23,810.75,18.45
2010-02-25,BARC.L,2.83,537.13,12.22
2010-02-25,HUKX.L,53.31,1490.15,33.91
2010-02-25,XOM,42.73,507.22,11.54
2010-02-26,XOM,42.65,506.29,11.37
2010-02-26,MCD,41.9,804.34,18.06
2010-02-26,JPM,27.54,1084.27,24.35
2010-02-26,BARC.L,2.89,547.02,12.28
2010-02-26,HUKX.L,54.07,1511.39,33.94
2010-02-27,MCD,42.17,809.49,16.56
2010-02-27,HUKX.L,54.26,1516.61,31.03
2010-02-27,JPM,27.67,1089.27,22.29
2010-02-27,BARC.L,2.89,546.82,11.19
2010-02-27,SPY,73.34,414.83,8.49
2010-02-27,XOM,42.99,510.24,10.44
2010-02-28,XOM,43.32,514.22,10.47
2010-02-28,MCD,42.44,814.7,16.59
2010-02-28,SPY,74.01,418.66,8.53
2010-02-28,JPM,27.8,1094.32,22.29
2010-02-28,HUKX.L,54.44,1521.82,30.99
2010-02-28,BARC.L,2.88,546.61,11.13
2010-03-01,SPY,74.7,422.53,8.56
2010-03-01,MCD,42.71,819.98,16.62
2010-03-01,XOM,43.66,518.26,10.5
2010-03-01,JPM,27.93,1099.43,22.28
